cal_year;stand_year;block;density;irrigation;FBY;FSY;FLY;DMY;DSY;DLY;height_cm;diameter_mm;tillers_m2;stem_frac
2013;2;1;2;0;20.0;16.107;3.893;10.801;7.41;3.391;341.0;8.0;37.5;686
2013;2;1;1;1;22.5;18.83;3.67;12.422;9.26;3.162;340.0;8.24;27.5;745
2013;2;1;1;3;40.0;32.231;7.769;21.78;15.399;6.382;336.0;9.62;65.0;707
2013;2;1;2;2;28.75;19.046;9.704;18.234;10.02;8.214;303.0;8.9;50.25;0.55
2013;2;1;1;2;34.5;22.078;12.422;21.58;11.016;10.563;269.0;8.91;66.25;511
2013;2;1;2;3;41.75;33.895;7.855;22.828;16.231;6.597;374.0;9.62;67.75;711
2013;2;1;2;1;32.75;26.808;5.942;18.728;13.547;5.181;385.0;8.73;60.75;723
2013;2;1;1;0;28.75;23.352;5.398;16.35;11.265;5.085;325.0;7.49;31.25;689
2013;2;2;2;3;54.0;43.304;10.696;30.326;21.261;9.065;303.0;9.58;77.5;701
2013;2;2;1;2;49.5;38.141;11.359;28.523;18.739;9.784;269.0;9.52;69.25;657
2013;2;2;2;0;22.5;19.211;3.289;11.62;8.742;2.878;279.0;8.18;23.0;752
2013;2;2;1;1;40.0;26.594;13.406;24.627;13.115;11.512;259.0;8.27;65.0;533
2013;2;2;2;1;37.5;24.554;12.946;23.165;12.748;10.417;258.0;8.98;25.0;0.55
2013;2;2;1;0;19.5;15.952;3.548;11.061;8.088;2.973;232.0;8.93;70.0;731
2013;2;2;2;2;38.25;32.968;5.282;18.913;14.574;4.339;316.0;9.05;67.0;771
2013;2;2;1;3;44.75;37.69;7.06;24.578;18.42;6.158;372.0;9.08;70.0;749
2013;2;2;2;1;37.5;32.85;4.65;19.8;15.75;4.05;313.0;8.94;65.0;795
2013;2;2;2;0;33.0;28.025;4.975;17.983;13.693;4.29;339.0;7.52;30.0;761
2013;2;3;1;3;37.5;30.336;7.164;20.165;14.151;6.014;358.0;9.69;77.5;702
