nuts3,year,yield_tha
AT111,2018,
AT111,2019,15.009651510629286
AT111,2020,16.939873368502834
AT111,2021,12.073815004751852
AT111,2022,13.339417175441755
AT111,2023,11.679489389645928
AT121,2018,
AT121,2019,12.36191305860086
AT121,2020,18.419346054817566
AT121,2021,14.588694180855699
AT121,2022,18.501769014004886
AT121,2023,13.356357707484088
AT124,2018,
AT124,2019,16.342972204029156
AT124,2020,17.910147708578553
AT124,2021,16.82140979842065
AT124,2022,17.228885236070152
AT124,2023,10.502841609710131
AT211,2018,
AT211,2019,20.09635213960883
AT211,2020,22.842619289109802
AT211,2021,18.558883446442685
AT211,2022,20.072840855691396
AT211,2023,21.089070858318156
AT212,2018,
AT212,2019,10.467675744220307
AT212,2020,9.215369344050854
AT212,2021,8.26655834536637
AT212,2022,10.489201232159271
AT212,2023,9.312303102064487
AT213,2018,
AT213,2019,17.374886994215462
AT213,2020,19.65320589832158
AT213,2021,14.161527394904532
AT213,2022,18.311212622259873
AT213,2023,17.676070826688736
AT222,2018,
AT222,2019,10.403063624319401
AT222,2020,9.803374245601137
AT222,2021,8.567488779867729
AT222,2022,11.465771100855568
AT222,2023,10.19535998036109
AT223,2018,
AT223,2019,14.100172051001268
AT223,2020,15.156213313486832
AT223,2021,12.567725252388405
AT223,2022,15.851062797099624
AT223,2023,16.313352789102023
AT226,2018,
AT226,2019,9.923993263164812
AT226,2020,9.60035072417497
AT226,2021,8.404112208970854
AT226,2022,11.737608177791694
AT226,2023,9.678076932640403
AT314,2018,
AT314,2019,16.914115893259407
AT314,2020,19.1327103778729
AT314,2021,16.908297601424174
AT314,2022,19.28752284918554
AT314,2023,16.672897252005598
AT315,2018,
AT315,2019,15.311889517398598
AT315,2020,15.952021495686385
AT315,2021,15.35403660933098
AT315,2022,16.984048041560964
AT315,2023,15.991746425258421
AT321,2018,
AT321,2019,4.263994874238209
AT321,2020,2.804520432480527
AT321,2021,2.187118563051897
AT321,2022,4.962839590268644
AT321,2023,3.2537173929530065
AT322,2018,
AT322,2019,10.6434163764961
AT322,2020,10.836999955293958
AT322,2021,9.553964776812627
AT322,2022,12.757054712937501
AT322,2023,10.537188114971443
AT323,2018,
AT323,2019,16.65737653634309
AT323,2020,19.009469759889715
AT323,2021,17.649776853644763
AT323,2022,18.883805865201786
AT323,2023,17.263570681497022
AT331,2018,
AT331,2019,2.2066526324729354
AT331,2020,1.1845379166822612
AT331,2021,1.0610416499276663
AT331,2022,2.180085723225171
AT331,2023,2.5363825423930555
AT332,2018,
AT332,2019,6.713166917896668
AT332,2020,5.887204072276717
AT332,2021,4.719872537298558
AT332,2022,7.395651839340606
AT332,2023,7.368840200555238
AT333,2018,
AT333,2019,2.495318358714231
AT333,2020,1.4952095862509374
AT333,2021,1.350032957827879
AT333,2022,2.839417323745023
AT333,2023,2.4222409846502786
AT334,2018,
AT334,2019,1.473439492294725
AT334,2020,0.9349174955689469
AT334,2021,0.889623548232393
AT334,2022,1.75379908656315
AT334,2023,1.8161806014840138
AT335,2018,
AT335,2019,8.593065405337509
AT335,2020,7.391547825902108
AT335,2021,6.612270338620688
AT335,2022,9.266713782393033
AT335,2023,9.679600484378259
AT341,2018,
AT341,2019,2.7863569746255465
AT341,2020,1.686246696980751
AT341,2021,1.2080702873805567
AT341,2022,2.578330614585559
AT341,2023,3.2379601859598615
AT342,2018,
AT342,2019,15.874513974221005
AT342,2020,17.415906470675083
AT342,2021,16.854515316709563
AT342,2022,16.692927895106966
AT342,2023,15.397506311152549
BG411,2018,
BG411,2019,10.450025323519979
BG411,2020,13.354942555045962
BG411,2021,7.65035147061647
BG411,2022,12.269489402035775
BG411,2023,12.070468177947827
BG413,2018,
BG413,2019,6.412301369775934
BG413,2020,9.781893882075776
BG413,2021,2.9068010582460606
BG413,2022,9.313156375037977
BG413,2023,6.178610539657757
BG423,2018,
BG423,2019,6.994644116231559
BG423,2020,7.166124137331096
BG423,2021,2.220608707233791
BG423,2022,7.751025464609222
BG423,2023,6.3643378690500825
BG424,2018,
BG424,2019,11.415447964643414
BG424,2020,10.515250528797996
BG424,2021,4.157049466910751
BG424,2022,11.845624501348814
BG424,2023,7.6291672211302854
DE139,2018,
DE139,2019,14.526651882533413
DE139,2020,12.632667879510297
DE139,2021,17.64090918403041
DE139,2022,12.969529288225429
DE139,2023,13.50454642286459
DE147,2018,
DE147,2019,19.025398378189998
DE147,2020,17.907946893902388
DE147,2021,19.964557024594036
DE147,2022,18.87192341831661
DE147,2023,15.063256226012594
DE148,2018,
DE148,2019,16.958940049944452
DE148,2020,17.99902571127887
DE148,2021,18.013197656673928
DE148,2022,17.80376891474744
