nuts3,yield_avg,constraints
AL111,5.76317588708146,slope; frost_damage
AT111,11.523111768805542,drainage
AT121,13.531923740337723,frost_damage
AT124,14.790038715070605,frost_damage
AT211,19.81392596142008,soil_moisture; frost_damage
AT212,8.588989329152705,slope; soil_moisture; frost_damage; gdd
AT213,16.7852184115739,slope; frost_damage; gdd
AT222,9.023873398335713,slope; soil_moisture; frost_damage; gdd
AT223,14.185000157502145,slope; soil_moisture; frost_damage; gdd
AT226,8.96072707451901,slope; soil_moisture; frost_damage; gdd
AT314,17.357653067169316,soil_moisture
AT315,15.287262704106293,soil_moisture; frost_damage
AT321,2.080482107464256,slope; soil_moisture; frost_damage; gdd
AT322,9.89831260004795,slope; soil_moisture; frost_damage; gdd
AT323,17.351726153856397,soil_moisture; gdd
AT331,0.7848250291909704,slope; soil_depth; soil_moisture; frost_damage; gdd
AT332,4.995208846588747,slope; soil_moisture; frost_damage; gdd
AT333,0.9741289656351135,slope; soil_moisture; frost_damage; gdd
AT334,0.5357369081102701,slope; soil_moisture; frost_damage; gdd
AT335,7.21097525473043,slope; soil_moisture; frost_damage; gdd
AT341,1.1233087546116494,slope; soil_depth; soil_moisture; frost_damage; gdd
AT342,15.5751300976839,soil_moisture; gdd
BA111,14.32307273018284,slope; soil_depth; frost_damage
BE336,10.59935937111025,gdd
BG411,9.864860226435896,frost_damage
BG413,5.881972392104264,slope; frost_damage
BG423,5.385767843562239,frost_damage
BG424,7.905839939841348,slope; frost_damage; gdd
CZ041,9.832771830734256,gdd
DE132,11.924123653866843,gdd
DE136,14.37496314423907,gdd
DE137,12.494296363891284,gdd
DE139,12.418684096765604,soil_moisture
DE141,13.770964692866494,gdd
DE143,13.391856896707532,gdd
DE147,16.780035790086835,soil_moisture
DE148,16.12306463794143,soil_moisture
DE213,17.091576941634056,soil_moisture
DE215,15.267063374795622,soil_moisture; gdd
DE216,14.32371788381677,soil_moisture
DE218,14.673966298188038,soil_moisture
DE21D,12.453645584317158,slope; soil_moisture; gdd
DE21F,12.965145920562865,soil_moisture
DE21K,17.59748703973947,soil_moisture
DE21L,14.605041595550087,soil_moisture
DE21M,18.196008200242012,soil_moisture; frost_damage
DE21N,15.382185224797755,soil_moisture
DE225,16.876030395531465,soil_moisture
DE249,9.413553911722554,gdd
DE24D,7.027523634016833,gdd
DE263,8.418231117033063,soil_depth
DE272,15.731484400113027,soil_moisture
DE273,14.598070628698569,soil_moisture
DE27A,15.782063805944912,soil_moisture
DE27B,14.751446092063443,soil_moisture
DE27E,13.515623997486946,soil_moisture; gdd
DE401,7.477298622533567,drainage; sandy_texture
DE405,6.625930920516355,sandy_texture
DE406,5.948599391664727,drainage; sandy_texture
DE407,6.676870523188531,drainage; sandy_texture
DE408,7.4204440258375515,sandy_texture
DE40A,7.455583822094157,sandy_texture
DE40B,6.858501336346102,sandy_texture
DE40C,6.218028190363634,sandy_texture
DE40D,8.515321249462634,sandy_texture
DE40E,6.453500109042596,sandy_texture
DE40F,10.011166001606265,sandy_texture
DE40G,6.523540358510836,sandy_texture
DE40H,5.441977192390116,sandy_texture
DE803,11.38148541424835,drainage
DE80L,11.23514629046013,drainage
DE80M,10.09524609741401,drainage
DE937,13.172392647820573,sandy_texture
DE948,12.88983522158119,sandy_texture
DE949,11.236577810552461,sandy_texture
DE94B,11.441399164643801,sandy_texture
DEA2D,12.109274495148052,gdd
DEA34,10.612023259094988,sandy_texture
DEA37,10.204257451778512,sandy_texture
DEA57,11.477341138026855,gdd
DEA59,11.709850250858,soil_moisture
DEA5A,10.783317077466986,gdd
DEB3A,7.496907081027638,soil_depth
DEC05,7.586481166128763,soil_depth
DED42,12.932328205927686,gdd
DEE06,7.049760492396194,sandy_texture
DEE0D,8.305709662843118,sandy_texture
DEE0E,6.215061663440874,sandy_texture
DEG03,7.0227323858810795,soil_depth
DEG04,9.704847228988797,gdd
DK011,12.019740540991993,drainage
DK014,5.261932171840807,soil_moisture
DK032,13.580673748078912,sandy_texture
DK041,12.533864842269793,sandy_texture
EE001,10.330124127264794,frost_damage; gdd
EE004,9.573263840142214,drainage; frost_damage; gdd
EE006,11.075973963042141,frost_damage; gdd
EE007,10.548002206358774,frost_damage; gdd
EE008,9.999315909663311,frost_damage; gdd
EL302,1.400956490299217,slope; soil_depth; dryness
EL303,1.6706329740311994,slope; soil_depth
EL304,2.99977247185972,slope
EL305,1.6667150999425655,dryness
EL306,0.9737710610386976,soil_depth
EL307,3.667968452904398,slope; soil_depth
EL412,4.7611727350987305,slope
EL413,1.3971219605374983,slope; soil_depth
EL422,3.851474613845551,slope; soil_depth
EL432,1.8547060927409784,slope; soil_depth
EL433,1.2040215649086394,slope; soil_depth
EL434,1.2505205300402844,slope; soil_depth
EL515,3.092440700976737,soil_depth
EL521,6.767138264981567,dryness
EL522,8.526065410387085,dryness
EL523,3.273287929259184,dryness
EL524,6.021083276404552,dryness
EL525,11.46569929972977,dryness
EL532,3.5938024061714144,slope
EL541,6.222971461606752,slope; salinity
EL542,3.80849407386705,slope
EL543,5.843789233473094,slope; soil_depth
EL612,3.511058697066096,dryness
EL621,4.735146127592941,soil_depth
EL622,8.471328548309085,soil_moisture
EL623,2.211803943329989,slope; soil_depth
EL624,4.849410573119042,slope; soil_depth
EL631,5.131060035882869,slope
EL632,4.03411405684358,slope; salinity
EL641,3.2497481838068283,soil_depth
EL642,1.5753832494738382,slope
EL643,6.609610620753449,slope
EL645,8.842625456402882,slope; soil_depth
EL651,2.317113871373942,slope; soil_depth
