soil_id,profielcode,sfu,boven,onder,ISOILLAY,BDENS,PCLAY,PSILT,PSAND,ORGMAT,PH
1,1010,B17,0,20,1,477,0.4,0.4,0.2,0.35,4.9
1,1010,B17,20,35,2,619,0.6,0.35,0.05,0.25,5
1,1010,O17,35,70,3,265,0.6,0.35,0.05,0.5,5.2
1,1010,O17,70,120,4,238,0.6,0.35,0.05,0.7,5.3
2,1020,B17,0,8,1,619,0.25,0.15,0.6,0.25,4.9
2,1020,B17,8,25,2,655,0.25,0.15,0.6,0.17,4.9
2,1020,O17,25,35,3,641,0.3,0.3,0.4,0.2,5
2,1020,O17,35,70,4,265,0.6,0.35,0.05,0.5,5.2
2,1020,O17,70,120,5,238,0.6,0.35,0.05,0.7,5.3
3,1030,B17,0,15,1,588,0.45,0.35,0.2,0.33,4.3
3,1030,O16,15,40,2,244,0.4,0.2,0.4,0.65,3.6
3,1030,O16,40,120,3,216,0.08,0.22,0.7,0.89,3.2
4,1040,B17,0,15,1,477,0.3,0.5,0.2,0.35,4.3
4,1040,O16,15,35,2,226,0.4,0.2,0.4,0.8,3.4
4,1040,O16,35,120,3,221,0.12,0.23,0.65,0.85,3.2
5,1050,B17,0,15,1,477,0.4,0.4,0.2,0.35,4.9
5,1050,O17,15,30,2,436,0.6,0.35,0.05,0.5,5
5,1050,O17,30,50,3,232,0.18,0.57,0.25,0.75,5.1
5,1050,O17,50,120,4,226,0.18,0.57,0.25,0.8,5.1
6,1060,B17,0,20,1,477,0.4,0.4,0.2,0.35,4.9
6,1060,O17,20,40,2,265,0.6,0.35,0.05,0.5,5
6,1060,O17,40,70,3,238,0.18,0.57,0.25,0.7,5.1
6,1060,O12,70,120,4,1219,0.45,0.35,0.2,0.03,6.3
7,1070,B17,0,20,1,477,0.25,0.45,0.3,0.35,5
7,1070,O17,20,40,2,238,0.18,0.57,0.25,0.7,5.1
7,1070,O17,40,80,3,232,0.18,0.57,0.25,0.75,5.1
7,1070,O18,80,100,4,252,0.08,0.27,0.65,0.2,5.1
7,1070,O02,100,120,5,1537,0.04,0.12,0.84,0.02,5.2
8,1071,B17,0,20,1,477,0.25,0.45,0.3,0.35,4.8
8,1071,O17,20,40,2,238,0.18,0.57,0.25,0.7,4
8,1071,O17,40,80,3,221,0.12,0.23,0.65,0.85,3.2
8,1071,O18,80,100,4,252,0.08,0.27,0.65,0.2,4
8,1071,O02,100,120,5,1537,0.04,0.12,0.84,0.02,4.8
9,1072,B17,0,20,1,477,0.25,0.45,0.3,0.35,5
9,1072,O17,20,40,2,238,0.18,0.57,0.25,0.7,5.1
9,1072,O17,40,80,3,232,0.18,0.57,0.25,0.75,5.1
9,1072,O18,80,100,4,252,0.08,0.27,0.65,0.2,5.1
9,1072,O06,100,120,5,1496,0.16,0.19,0.65,0.01,5.1
10,1080,B16,0,15,1,526,0.06,0.14,0.8,0.45,4.8
10,1080,O17,15,60,2,232,0.18,0.57,0.25,0.75,5.1
10,1080,O17,60,120,3,226,0.18,0.57,0.25,0.8,5.1
11,1090,B16,0,15,1,526,0.08,0.22,0.7,0.45,4.8
11,1090,O17,15,60,2,232,0.18,0.57,0.25,0.75,5.1
11,1090,O17,60,120,3,226,0.18,0.57,0.25,0.8,5.1
12,1100,B16,0,20,1,560,0.06,0.14,0.8,0.35,4.9
12,1100,O17,20,50,2,232,0.18,0.57,0.25,0.75,5.1
12,1100,O17,50,70,3,226,0.18,0.57,0.25,0.8,5.1
12,1100,O02,70,120,4,1655,0.03,0.09,0.88,0.005,5.1
13,1110,B16,0,20,1,477,0.08,0.22,0.7,0.35,4.9
13,1110,O17,20,50,2,232,0.18,0.57,0.25,0.75,5.1
13,1110,O17,50,70,3,226,0.18,0.57,0.25,0.8,5.1
13,1110,O02,70,120,4,1655,0.03,0.09,0.88,0.005,5.1
14,1111,B16,0,20,1,477,0.08,0.22,0.7,0.35,4.9
14,1111,O17,20,50,2,232,0.18,0.57,0.25,0.75,5.1
14,1111,O17,50,70,3,226,0.18,0.57,0.25,0.8,5.1
14,1111,O02,70,90,4,1655,0.03,0.09,0.88,0.005,5.1
14,1111,O14,90,120,5,1396,0.08,0.47,0.45,0.005,5.1
15,1120,B16,0,20,1,543,0.06,0.06,0.88,0.4,4.5
15,1120,O16,20,60,2,173,0.04,0.08,0.88,0.85,3.7
15,1120,O02,60,75,3,1292,0.03,0.09,0.88,0.08,4.2
15,1120,O02,75,90,4,1538,0.03,0.09,0.88,0.03,4.5
15,1120,O01,90,120,5,1663,0.03,0.05,0.92,0.005,4.7
16,1130,B17,0,7,1,607,0.6,0.35,0.05,0.28,4.9
16,1130,O13,7,20,2,664,0.6,0.35,0.05,0.15,5
16,1130,O13,20,35,3,261,0.68,0.27,0.05,0.15,5
16,1130,O17,35,70,4,265,0.6,0.35,0.05,0.5,5.2
16,1130,O17,70,120,5,238,0.6,0.35,0.05,0.7,5.3
17,1140,B17,0,10,1,608,0.12,0.18,0.7,0.23,4.8
17,1140,O10,10,30,2,664,0.18,0.17,0.65,0.15,4.8
17,1140,O17,30,70,3,265,0.6,0.35,0.05,0.5,5.2
17,1140,O17,70,120,4,238,0.6,0.35,0.05,0.7,5.3
18,1150,B17,0,5,1,632,0.5,0.35,0.15,0.22,4.7
18,1150,O13,5,15,2,664,0.5,0.4,0.1,0.15,4.7
18,1150,O18,15,30,3,252,0.55,0.4,0.05,0.2,4.7
18,1150,O16,30,60,4,226,0.22,0.38,0.4,0.8,3.6
18,1150,O16,60,120,5,215,0.08,0.22,0.7,0.9,3.2
19,1160,B17,0,8,1,646,0.1,0.15,0.75,0.19,4.7
19,1160,O10,8,25,2,897,0.15,0.15,0.7,0.14,4.7
19,1160,O12,25,35,3,261,0.45,0.2,0.35,0.15,4.9
19,1160,O17,35,60,4,232,0.18,0.57,0.25,0.75,5.1
19,1160,O17,60,120,5,226,0.18,0.57,0.25,0.8,5.1
20,1170,B17,0,7,1,632,0.45,0.35,0.2,0.22,5
20,1170,O12,7,20,2,890,0.45,0.35,0.2,0.12,5
20,1170,O18,20,35,3,252,0.45,0.2,0.35,0.2,5
