sfu,ORES,OSAT,ALFA,NPAR,KSATFIT,KSATEXM,LEXP,H_ENPR
B01,0.02,0.427494,0.021659,1.734737,31.225016,312.25016,0.98087,0
B02,0.02,0.433878,0.021645,1.34877,83.241635,832.41635,7.202077,0
B03,0.02,0.44279,0.014993,1.50488,19.077237,190.77237,0.139209,0
B04,0.02,0.461926,0.01488,1.39685,34.884276,348.84276,0.294536,0
B05,0.01,0.380881,0.042807,1.8078,63.650403,636.50403,0.024227,0
B06,0.01,0.384816,0.020923,1.24225,104.103005,1041.03005,-1.20013,0
B07,0,0.400582,0.018349,1.248279,14.582327,510.381445,0.952016,0
B08,0.01,0.432651,0.010478,1.277992,3.002741,105.095935,-1.919289,0
B09,0,0.429539,0.006964,1.267179,1.747586,61.16551,-2.387059,0
B10,0.01,0.448112,0.012834,1.13525,3.832283,306.58264,4.580513,0
B11,0.01,0.591286,0.02162,1.106695,6.30532,504.4256,-5.549216,0
B12,0.01,0.529749,0.016562,1.090671,2.245895,179.6716,-4.493581,0
B13,0.01,0.416084,0.008362,1.437024,29.832408,59.664816,-1.356913,0
B14,0.01,0.416774,0.00541,1.301528,0.895023,1.790046,-0.334926,0
B15,0.01,0.528458,0.023731,1.282347,87.450789,262.352367,-1.477564,0
B16,0.01,0.786061,0.021072,1.278798,12.357246,37.071738,-1.220936,0
B17,0,0.718626,0.019062,1.136658,4.483735,13.451205,0.0001,0
B18,0,0.765452,0.020468,1.150709,13.144562,39.433686,0.0001,0
O01,0.01,0.365847,0.015987,2.162751,22.322154,223.22154,2.867967,0
O02,0.02,0.387064,0.016083,1.524418,22.761756,227.61756,2.439662,0
O03,0.01,0.33981,0.017243,1.703395,12.36681,123.6681,0.0001,0
O04,0.01,0.364074,0.013642,1.48844,25.814715,258.14715,2.179397,0
O05,0.01,0.336701,0.030304,2.887502,17.418504,174.18504,0.0736,0
O06,0.01,0.333434,0.015959,1.288705,32.833899,328.33899,-1.009748,0
O07,0.01,0.513126,0.011985,1.153018,37.55042,375.5042,-2.013289,0
O08,0,0.453751,0.011324,1.345968,8.64086,302.4301,-0.903823,0
O09,0,0.458246,0.009715,1.375784,3.766627,131.831945,-1.013083,0
O10,0.01,0.472343,0.010048,1.245691,2.300067,80.502345,-0.792959,0
O11,0,0.443617,0.014316,1.126001,2.122436,169.79488,2.357139,0
O12,0.01,0.560703,0.008813,1.158128,1.079729,86.37832,-3.172265,0
O13,0.01,0.573268,0.027854,1.079952,9.689291,775.14328,-6.091311,0
O14,0.01,0.393878,0.003288,1.616573,2.495984,4.991968,0.514012,0
O15,0.01,0.410058,0.007756,1.287343,2.791251,5.582502,0.0001,0
O16,0,0.889246,0.009711,1.363576,1.462624,4.387872,-0.664647,0
O17,0.01,0.848635,0.011929,1.271536,3.402009,10.206027,-1.2493,0
O18,0.01,0.580278,0.012657,1.316172,35.951279,107.853837,-0.785534,0
